fitnesstrait,set,year,term,estimate,std.error,statistic,p.value,n_obs,round
survived,lt1,2018,sla,-0.13063816072348983,0.1530520613657211,-0.8535537486903049,0.40345981485075066,24,1
survived,lt1,2018,trichome_density,0.03408185183269217,0.14166609698202612,0.2405787450826453,0.8123305328323275,24,1
survived,lt1,2018,water_content,0.27143558430183956,0.15592374152145758,1.7408226717320385,0.09707823099314793,24,1
survived,lt1,2019,sla,-0.10787276015220439,0.09988524078308764,-1.0799669631518691,0.2873393214109746,40,1
survived,lt1,2019,trichome_density,-0.1248174462747658,0.09534464862518914,-1.3091185302432404,0.19878902685755323,40,1
survived,lt1,2019,water_content,-0.07792570116491687,0.10091880829432306,-0.7721623202054834,0.44505805721278224,40,1
survived,lt1,2020,sla,-0.16142456309771652,0.11881249346664226,-1.3586497378159816,0.1931050182004196,20,1
survived,lt1,2020,trichome_density,0.09318011868337914,0.11861058001564163,0.7855970240689415,0.4435824115495539,20,1
survived,lt1,2020,water_content,-0.06965086883058018,0.11992693970903463,-0.5807775050340342,0.5694813289022103,20,1
survived,lt2,2018,sla,-0.07048309722264712,0.13647062000486918,-0.5164708507965475,0.6111893415846427,24,2
survived,lt2,2018,trichome_density,-0.006218860162936569,0.1320498249142581,-0.047094800519232545,0.9629047703732543,24,2
survived,lt2,2018,water_content,-0.05970254232726297,0.1366351800383746,-0.43694853924512883,0.666829987481722,24,2
survived,lt2,2020,sla,-0.07797940941200503,0.1363560717256309,-0.5718807268730315,0.5744758671002256,22,2
survived,lt2,2020,trichome_density,0.14946898854792093,0.13733186287629878,1.0883780749595935,0.2907867590832297,22,2
survived,lt2,2020,water_content,-0.20031646055996732,0.13753044630911496,-1.456524471023193,0.16247064645539214,22,2
survived,pt,2018,photosynthesis,-0.34761034674510877,0.21432999822777082,-1.6218464499575065,0.11565965860146986,33,1
survived,pt,2018,conductance,0.3934001874914643,0.2601918491273825,1.5119619957766885,0.1413654201979811,33,1
survived,pt,2018,WUE,0.029353244076188594,0.16426229182146063,0.17869739762363182,0.8594178812443527,33,1
survived,pt,2019,photosynthesis,0.02795466512834979,0.151577542439401,0.18442484736500958,0.8547446303564115,39,1
survived,pt,2019,conductance,0.052876396483681434,0.16594310018895006,0.31864172974636523,0.7518919952755704,39,1
survived,pt,2019,WUE,0.0714939391736642,0.11583747976723678,0.6171917700326677,0.5411029649013456,39,1
survived,pt,2020,photosynthesis,-0.1161182422285358,0.21282440265738553,-0.5456058646407587,0.5924247240173588,21,1
survived,pt,2020,conductance,0.10936071369741555,0.28682666840999,0.38127805306128426,0.7077201677906705,21,1
survived,pt,2020,WUE,-0.03396353755318657,0.22974322702013122,-0.14783259551851996,0.8842141358883292,21,1
RGR,lt1,2018,sla,0.7996195233304196,1.0161111382171457,0.7869410079820803,0.45712755875848254,11,1
RGR,lt1,2018,trichome_density,-0.6431114170418155,0.9009404531640953,-0.7138223339658172,0.49844013698583833,11,1
